,Name position,Exp required,Application date,Application day,Application way,Application way comments,Response date,Response day,Call/Interview,Second interview,Technical interview,Technical assignment,Job Offer
0,Data Analyst,1-3 years,2020-11-25,Wednesday,Job application,Linkedin,2020-12-07,Monday,,,,,
1,Junior Data Engineer,0 years,2020-12-01,Tuesday,DM to recrutier,Linkedin network,2020-12-02,Wednesday,,,,,
2,Junior Data Engineer,0 years,2020-12-02,Wednesday,Linkedin application,Linkedin network,,,,,,,
3,Data Analyst,3-5 years,2020-12-02,Wednesday,Job application,Linkedin,2020-12-04,Friday,,,,,
4,Business Analyst,,2020-12-01,Tuesday,Was contacted,Linkedin,2020-12-03,Thursday,2020-12-15,2020-12-22,,,2020-12-23
5,Data Engineer,3-5 years,2020-12-06,Sunday,DM to teamlead,Linkedin,2020-12-07,Monday,,,,,
6,Data Engineer,3-5 years,2020-12-07,Monday,Linkedin application,Linkedin,2020-12-16,Wednesday,,,,,
7,Data Engineer,1 years,2020-12-07,Monday,Linkedin application,Linkedin,,,,,,,
8,Data Engineer,1-3 years,2020-12-07,Monday,Job application,Linkedin,2021-01-06,Wednesday,,,,,
9,Junior Big Data Engineer,0-2 years,2020-12-09,Wednesday,Job application,Talent,2020-12-18,Friday,2020-12-22,2021-01-19,,2021-01-22,2021-01-25
10,Junior Data Scientist,0 years,2020-12-09,Wednesday,Job application,Linkedin,,,,,,,
11,Data Analyst,2 years,2020-12-09,Wednesday,Job application,Linkedin,2020-12-09,Wednesday,,,,,
12,Junior Data Engineer,0 years,2020-12-09,Wednesday,Job application,Linkedin,2020-12-11,Friday,,,,,
13,Senior Data Analyst / Engineer,5 years,2020-12-09,Wednesday,DM to teamlead,Linkedin,,,,,,,
14,Senior Data Analyst / Engineer,5 years,2020-12-11,Wednesday,Job application,Linkedin,,,,,,,
15,Senior Data Engineer,5 years,2020-12-14,Monday,DM to recrutier,Linkedin,,,,,,,
16,Pricing & Data Analyst,1 years,2020-12-14,Monday,DM to teamlead,Linkedin,,,,,,,
17,Pricing & Data Analyst,1 years,2020-12-14,Monday,Job application,Linkedin,2020-12-15,Tuesday,,,,,
